char	digraph	description
ن	n+	arabic letter noon
ه	h+	arabic letter heh
و	w+	arabic letter waw
ى	j+	arabic letter alef maksura
ي	y+	arabic letter yeh
ً	:+	arabic fathatan
ٌ	\"+	arabic dammatan
ٍ	=+	arabic kasratan
َ	/+	arabic fatha
ُ	'+	arabic damma
ِ	1+	arabic kasra
ّ	3+	arabic shadda
ْ	0+	arabic sukun
ٰ	as	arabic letter superscript alef
پ	p+	arabic letter peh
ڤ	v+	arabic letter veh
گ	gf	arabic letter gaf
۰	0a	extended arabic-indic digit zero
۱	1a	extended arabic-indic digit one
۲	2a	extended arabic-indic digit two
۳	3a	extended arabic-indic digit three
۴	4a	extended arabic-indic digit four
۵	5a	extended arabic-indic digit five
۶	6a	extended arabic-indic digit six
۷	7a	extended arabic-indic digit seven
۸	8a	extended arabic-indic digit eight
۹	9a	extended arabic-indic digit nine
ḃ	b.	latin capital letter b with dot above
ḃ	b.	latin small letter b with dot above
ḇ	b_	latin capital letter b with line below
ḇ	b_	latin small letter b with line below
ḋ	d.	latin capital letter d with dot above
ḋ	d.	latin small letter d with dot above
ḏ	d_	latin capital letter d with line below
ḏ	d_	latin small letter d with line below
ḑ	d	7696
ḑ	d	7697
ḟ	f.	latin capital letter f with dot above
ḟ	f.	latin small letter f with dot above
ḡ	g-	latin capital letter g with macron
ḡ	g-	latin small letter g with macron
ḣ	h.	latin capital letter h with dot above
ḣ	h.	latin small letter h with dot above
ḧ	h:	latin capital letter h with diaeresis
ḧ	h:	latin small letter h with diaeresis
ḩ	h	7720
ḩ	h	7721
ḱ	k'	latin capital letter k with acute
ḱ	k'	latin small letter k with acute
ḵ	k_	latin capital letter k with line below
ḵ	k_	latin small letter k with line below
ḻ	l_	latin capital letter l with line below
ḻ	l_	latin small letter l with line below
ḿ	m'	latin capital letter m with acute
ḿ	m'	latin small letter m with acute
ṁ	m.	latin capital letter m with dot above
ṁ	m.	latin small letter m with dot above
ṅ	n.	latin capital letter n with dot above
ṅ	n.	latin small letter n with dot above
ṉ	n_	latin capital letter n with line below
ṉ	n_	latin small letter n with line below
ṕ	p'	latin capital letter p with acute
ṕ	p'	latin small letter p with acute
ṗ	p.	latin capital letter p with dot above
ṗ	p.	latin small letter p with dot above
ṙ	r.	latin capital letter r with dot above
ṙ	r.	latin small letter r with dot above
ṟ	r_	latin capital letter r with line below
ṟ	r_	latin small letter r with line below
ṡ	s.	latin capital letter s with dot above
ṡ	s.	latin small letter s with dot above
ṫ	t.	latin capital letter t with dot above
ṫ	t.	latin small letter t with dot above
ṯ	t_	latin capital letter t with line below
ṯ	t_	latin small letter t with line below
ṽ	v?	latin capital letter v with tilde
ṽ	v?	latin small letter v with tilde
ẁ	w!	latin capital letter w with grave
ẁ	w!	latin small letter w with grave
ẃ	w'	latin capital letter w with acute
ẃ	w'	latin small letter w with acute
ẅ	w:	latin capital letter w with diaeresis
ẅ	w:	latin small letter w with diaeresis
ẇ	w.	latin capital letter w with dot above
ẇ	w.	latin small letter w with dot above
ẋ	x.	latin capital letter x with dot above
ẋ	x.	latin small letter x with dot above
ẍ	x:	latin capital letter x with diaeresis
ẍ	x:	latin small letter x with diaeresis
ẏ	y.	latin capital letter y with dot above
ẏ	y.	latin small letter y with dot above
ẑ	z>	latin capital letter z with circumflex
ẑ	z>	latin small letter z with circumflex
ẕ	z_	latin capital letter z with line below
ẕ	z_	latin small letter z with line below
ẖ	h_	latin small letter h with line below
ẗ	t:	latin small letter t with diaeresis
ẘ	w0	latin small letter w with ring above
ẙ	y0	latin small letter y with ring above
ả	a2	latin capital letter a with hook above
ả	a2	latin small letter a with hook above
ẻ	e2	latin capital letter e with hook above
ẻ	e2	latin small letter e with hook above
ẽ	e?	latin capital letter e with tilde
ẽ	e?	latin small letter e with tilde
ỉ	i2	latin capital letter i with hook above
ỉ	i2	latin small letter i with hook above
ỏ	o2	latin capital letter o with hook above
ỏ	o2	latin small letter o with hook above
ủ	u2	latin capital letter u with hook above
ủ	u2	latin small letter u with hook above
ỳ	y!	latin capital letter y with grave
ỳ	y!	latin small letter y with grave
ỷ	y2	latin capital letter y with hook above
ỷ	y2	latin small letter y with hook above
ỹ	y?	latin capital letter y with tilde
ỹ	y?	latin small letter y with tilde
ἀ	;'	greek small letter alpha with psili
ἁ		7937
ἂ	;!	greek small letter alpha with psili and varia
ἃ		7939
ἄ	?;	greek small letter alpha with psili and oxia
ἅ	?	7941
ἆ	!:	greek small letter alpha with psili and perispomeni
